year,ndwi_threshold,valid_pixels,AWRSEI_mean,HAI_reverse_mean,HARSEI_mean
2000,0.0,506189,0.48742690682411194,0.9068500995635986,0.5222972631454468
2000,0.1,507684,0.48730847239494324,0.907055139541626,0.5222300291061401
2000,0.2,507961,0.48725149035453796,0.9070584774017334,0.5222101807594299
2001,0.0,506214,0.48113057017326355,0.9090643525123596,0.5166906118392944
2001,0.1,507563,0.48102471232414246,0.909239649772644,0.5166303515434265
2001,0.2,507787,0.48099035024642944,0.9092423915863037,0.5166156888008118
2002,0.0,506335,0.4754107892513275,0.9085659384727478,0.5113967657089233
2002,0.1,507790,0.4753178060054779,0.9087606072425842,0.5113485455513
2002,0.2,508027,0.47528135776519775,0.9087640643119812,0.5113326907157898
2003,0.0,506557,0.48889806866645813,0.9089898467063904,0.523820161819458
2003,0.1,507773,0.4887818396091461,0.9091402888298035,0.5237516760826111
2003,0.2,507999,0.48873549699783325,0.909142792224884,0.5237343311309814
2004,0.0,506464,0.4736088514328003,0.9083206057548523,0.509739875793457
2004,0.1,507750,0.4735164940357208,0.90848708152771,0.5096952319145203
2004,0.2,507999,0.4734618365764618,0.908490002155304,0.5096736550331116
2005,0.0,506254,0.4984153211116791,0.9085898995399475,0.5325151681900024
2005,0.1,507551,0.4982784390449524,0.9087656736373901,0.5324305891990662
2005,0.2,507824,0.49822697043418884,0.9087693095207214,0.5324101448059082
2006,0.0,506205,0.4834391474723816,0.9097946286201477,0.5188868641853333
2006,0.1,507441,0.48333829641342163,0.9099614024162292,0.518830418586731
2006,0.2,507660,0.4832848608493805,0.9099634885787964,0.518814206123352
2007,0.0,506399,0.4811781346797943,0.9078912138938904,0.5166303515434265
2007,0.1,507829,0.4810742139816284,0.9080809354782104,0.5165740251541138
2007,0.2,508063,0.4810260832309723,0.9080848693847656,0.51655513048172
2008,0.0,506958,0.44801613688468933,0.9076462388038635,0.4862332344055176
2008,0.1,508017,0.4479767084121704,0.9077749848365784,0.48623064160346985
2008,0.2,508266,0.4479324519634247,0.9077793955802917,0.48621490597724915
2009,0.0,505391,0.49450647830963135,0.9066648483276367,0.5287611484527588
2009,0.1,506849,0.4943738579750061,0.9068498611450195,0.5286802649497986
2009,0.2,507138,0.4943270683288574,0.9068509340286255,0.5286667346954346
2010,0.0,506344,0.4994690418243408,0.9038060903549194,0.5330814123153687
2010,0.1,507678,0.49932169914245605,0.9039997458457947,0.5329881310462952
2010,0.2,507906,0.4992692768573761,0.9040036201477051,0.5329701900482178
2011,0.0,506804,0.47627225518226624,0.9063452482223511,0.5120038986206055
2011,0.1,507937,0.4761926531791687,0.9064964652061462,0.5119601488113403
2011,0.2,508197,0.4761544466018677,0.9064982533454895,0.511945903301239
2012,0.0,506999,0.47685906291007996,0.905356228351593,0.5124743580818176
2012,0.1,508124,0.4767840504646301,0.905513346195221,0.512437105178833
2012,0.2,508379,0.4767570495605469,0.905515730381012,0.5124277472496033
2013,0.0,505816,0.5324370861053467,0.905338704586029,0.5634422302246094
2013,0.1,507281,0.5322179198265076,0.9055476784706116,0.5632834434509277
2013,0.2,507510,0.5321640968322754,0.9055492877960205,0.5632696747779846
2014,0.0,506633,0.5011029839515686,0.8584351539611816,0.5308161973953247
2014,0.1,507703,0.5009746551513672,0.8585126996040344,0.5307344794273376
2014,0.2,507905,0.500929594039917,0.8585149049758911,0.5307211875915527
2015,0.0,506568,0.5116554498672485,0.88045334815979,0.5423171520233154
2015,0.1,507806,0.5115014314651489,0.8805854916572571,0.5422067642211914
2015,0.2,508055,0.511455774307251,0.8805900812149048,0.5421921610832214
2016,0.0,506562,0.5198724269866943,0.8961377143859863,0.5511557459831238
2016,0.1,507815,0.5196955800056458,0.8962906002998352,0.551034152507782
2016,0.2,508065,0.5196252465248108,0.8962922096252441,0.5510111451148987
2017,0.0,507008,0.4996061623096466,0.8006213903427124,0.5246137380599976
2017,0.1,508018,0.49949291348457336,0.8007195591926575,0.524544358253479
2017,0.2,508289,0.49943429231643677,0.8007211089134216,0.5245295763015747
2018,0.0,506519,0.49368828535079956,0.8461313247680664,0.5229784846305847
2018,0.1,507656,0.4935753643512726,0.8462374806404114,0.522911012172699
2018,0.2,508033,0.4935145378112793,0.8462391495704651,0.5228983163833618
2019,0.0,506850,0.5063628554344177,0.8115526437759399,0.5316997766494751
2019,0.1,508500,0.5062201619148254,0.8116791248321533,0.5316188335418701
2019,0.2,509175,0.5061514377593994,0.8116790652275085,0.5316092371940613
2020,0.0,506912,0.5118359327316284,0.8153006434440613,0.5370452404022217
2020,0.1,508280,0.5116894841194153,0.8154098391532898,0.5369575023651123
2020,0.2,508935,0.5116046667098999,0.8154109120368958,0.5369466543197632
2021,0.0,506958,0.5058093667030334,0.7848414182662964,0.5289912223815918
2021,0.1,507984,0.5056882500648499,0.7849363684654236,0.528913676738739
2021,0.2,508293,0.5056368112564087,0.7849381566047668,0.5288981795310974
2022,0.0,507121,0.4710208773612976,0.7609897255897522,0.49511095881462097
2022,0.1,508085,0.47095629572868347,0.7610811591148376,0.4950774610042572
2022,0.2,508331,0.47090914845466614,0.7610836625099182,0.495062917470932
2023,0.0,507020,0.5111673474311829,0.725111722946167,0.5289549231529236
2023,0.1,507912,0.5110518336296082,0.725178062915802,0.5288825631141663
2023,0.2,508353,0.5109804272651672,0.7251800298690796,0.5288675427436829
2024,0.0,507280,0.5369707345962524,0.7207066416740417,0.5522223711013794
2024,0.1,508252,0.5368124842643738,0.720769464969635,0.5521309971809387
2024,0.2,508794,0.5367117524147034,0.720770001411438,0.5521149635314941
