Year,N_common,Factor,q,classing
2000,504265,DEM,0.1434095499,7-class quantile
2000,504265,SLOPE,0.0992858999,7-class quantile
2000,504265,ASPECT,0.0075262988,7-class quantile
2000,504265,WRB,0.5953171763,categorical
2000,504265,PRE,0.6944003016,7-class quantile
2000,504265,TEMMAX,0.2366671580,7-class quantile
2000,504265,TEMMIN,0.0899706196,7-class quantile
2000,504265,TEM,0.1612188550,7-class quantile
2000,504265,SOIL,0.6740719203,7-class quantile
2000,504265,AET,0.7454475639,7-class quantile
2000,504265,SWE,0.4672839278,7-class quantile
