,DEM,SLOPE,ASPECT,WRB,PRE,TEMMAX,TEMMIN,TEM,SOIL,AET,SWE
DEM,0.1272578553,0.4202002932,0.1448591292,0.7367888024,0.7978310251,0.5571257871,0.2665578199,0.4337889680,0.7573345901,0.7799984931,0.5658978926
SLOPE,0.4202002932,0.1090156862,0.1185596453,0.6040784150,0.7136323014,0.2770171628,0.3080748148,0.2767701620,0.6038285912,0.7445083567,0.4329736271
ASPECT,0.1448591292,0.1185596453,0.0077612870,0.5886659914,0.6938495006,0.1746608401,0.1105256195,0.1302353748,0.5834575576,0.6937126348,0.3814361995
WRB,0.7367888024,0.6040784150,0.5886659914,0.5835736255,0.7992778203,0.6821645280,0.7280551978,0.6994795729,0.7443922806,0.8092956404,0.6821051128
PRE,0.7978310251,0.7136323014,0.6938495006,0.7992778203,0.6888014284,0.8030172525,0.7960122332,0.8001996178,0.7011399778,0.7418597282,0.7159159901
TEMMAX,0.5571257871,0.2770171628,0.1746608401,0.6821645280,0.8030172525,0.1602789789,0.5167221416,0.3361358399,0.7758906257,0.8010351865,0.6783737031
TEMMIN,0.2665578199,0.3080748148,0.1105256195,0.7280551978,0.7960122332,0.5167221416,0.0897054798,0.3464262771,0.7721116162,0.7961990433,0.6279491527
TEM,0.4337889680,0.2767701620,0.1302353748,0.6994795729,0.8001996178,0.3361358399,0.3464262771,0.1135704966,0.7760965930,0.7995983285,0.6585250244
SOIL,0.7573345901,0.6038285912,0.5834575576,0.7443922806,0.7011399778,0.7758906257,0.7721116162,0.7760965930,0.5796186126,0.7135916781,0.6016382060
AET,0.7799984931,0.7445083567,0.6937126348,0.8092956404,0.7418597282,0.8010351865,0.7961990433,0.7995983285,0.7135916781,0.6860240399,0.6991507999
SWE,0.5658978926,0.4329736271,0.3814361995,0.6821051128,0.7159159901,0.6783737031,0.6279491527,0.6585250244,0.6016382060,0.6991507999,0.3683267756
