,DEM,SLOPE,ASPECT,WRB,PRE,TEMMAX,TEMMIN,TEM,SOIL,AET,SWE
DEM,single,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement
SLOPE,nonlinear enhancement,single,nonlinear enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement
ASPECT,nonlinear enhancement,nonlinear enhancement,single,bivariate enhancement,bivariate enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,nonlinear enhancement,nonlinear enhancement
WRB,nonlinear enhancement,bivariate enhancement,bivariate enhancement,single,bivariate enhancement,bivariate enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement
PRE,bivariate enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,single,bivariate enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement
TEMMAX,nonlinear enhancement,bivariate enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,single,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement
TEMMIN,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,single,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement
TEM,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement,nonlinear enhancement,single,bivariate enhancement,bivariate enhancement,nonlinear enhancement
SOIL,bivariate enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement,bivariate enhancement,single,bivariate enhancement,bivariate enhancement
AET,bivariate enhancement,bivariate enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,single,bivariate enhancement
SWE,nonlinear enhancement,bivariate enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,nonlinear enhancement,nonlinear enhancement,nonlinear enhancement,bivariate enhancement,bivariate enhancement,single
