period,change_code,change_class,rule,pixels,percent_of_valid_pixels
2000-2005,1,Significant deterioration,delta_grade <= -2,1,0.000198
2000-2005,2,Slight deterioration,delta_grade = -1,11706,2.311949
2000-2005,3,Unchanged,delta_grade = 0,468007,92.431951
2000-2005,4,Slight improvement,delta_grade = +1,26612,5.255902
2000-2005,5,Significant improvement,delta_grade >= +2,0,0.000000
2005-2010,1,Significant deterioration,delta_grade <= -2,2,0.000395
2005-2010,2,Slight deterioration,delta_grade = -1,22676,4.476592
2005-2010,3,Unchanged,delta_grade = 0,466213,92.037643
2005-2010,4,Slight improvement,delta_grade = +1,17654,3.485172
2005-2010,5,Significant improvement,delta_grade >= +2,1,0.000197
2010-2015,1,Significant deterioration,delta_grade <= -2,0,0.000000
2010-2015,2,Slight deterioration,delta_grade = -1,14514,2.864790
2010-2015,3,Unchanged,delta_grade = 0,466112,92.001721
2010-2015,4,Slight improvement,delta_grade = +1,25985,5.128949
2010-2015,5,Significant improvement,delta_grade >= +2,23,0.004540
2015-2020,1,Significant deterioration,delta_grade <= -2,9,0.001777
2015-2020,2,Slight deterioration,delta_grade = -1,29228,5.769386
2015-2020,3,Unchanged,delta_grade = 0,447800,88.392337
2015-2020,4,Slight improvement,delta_grade = +1,29568,5.836500
2015-2020,5,Significant improvement,delta_grade >= +2,0,0.000000
2020-2024,1,Significant deterioration,delta_grade <= -2,0,0.000000
2020-2024,2,Slight deterioration,delta_grade = -1,24101,4.756313
2020-2024,3,Unchanged,delta_grade = 0,443841,87.591669
2020-2024,4,Slight improvement,delta_grade = +1,38739,7.645111
2020-2024,5,Significant improvement,delta_grade >= +2,35,0.006907
2000-2024,1,Significant deterioration,delta_grade <= -2,3,0.000592
2000-2024,2,Slight deterioration,delta_grade = -1,8213,1.621527
2000-2024,3,Unchanged,delta_grade = 0,453793,89.594233
2000-2024,4,Slight improvement,delta_grade = +1,44332,8.752651
2000-2024,5,Significant improvement,delta_grade >= +2,157,0.030997
