period,from_code,from_grade,to_code,to_grade,pixels,percent_of_period_valid,percent_of_from_grade
2000-2005,1,Worst,1,Worst,0,0.000000,0.000000
2000-2005,1,Worst,2,Poor,0,0.000000,0.000000
2000-2005,1,Worst,3,Moderate,0,0.000000,0.000000
2000-2005,1,Worst,4,Good,0,0.000000,0.000000
2000-2005,1,Worst,5,Excellent,0,0.000000,0.000000
2000-2005,2,Poor,1,Worst,0,0.000000,0.000000
2000-2005,2,Poor,2,Poor,89,0.017578,42.583732
2000-2005,2,Poor,3,Moderate,120,0.023700,57.416268
2000-2005,2,Poor,4,Good,0,0.000000,0.000000
2000-2005,2,Poor,5,Excellent,0,0.000000,0.000000
2000-2005,3,Moderate,1,Worst,0,0.000000,0.000000
2000-2005,3,Moderate,2,Poor,10,0.001975,0.004639
2000-2005,3,Moderate,3,Moderate,194718,38.457042,90.325364
2000-2005,3,Moderate,4,Good,20846,4.117110,9.669997
2000-2005,3,Moderate,5,Excellent,0,0.000000,0.000000
2000-2005,4,Good,1,Worst,0,0.000000,0.000000
2000-2005,4,Good,2,Poor,0,0.000000,0.000000
2000-2005,4,Good,3,Moderate,5505,1.087244,4.593012
2000-2005,4,Good,4,Good,108705,21.469370,90.696336
2000-2005,4,Good,5,Excellent,5646,1.115092,4.710653
2000-2005,5,Excellent,1,Worst,0,0.000000,0.000000
2000-2005,5,Excellent,2,Poor,0,0.000000,0.000000
2000-2005,5,Excellent,3,Moderate,1,0.000198,0.000586
2000-2005,5,Excellent,4,Good,6191,1.222730,3.627107
2000-2005,5,Excellent,5,Excellent,164495,32.487962,96.372307
2005-2010,1,Worst,1,Worst,0,0.000000,0.000000
2005-2010,1,Worst,2,Poor,0,0.000000,0.000000
2005-2010,1,Worst,3,Moderate,0,0.000000,0.000000
2005-2010,1,Worst,4,Good,0,0.000000,0.000000
2005-2010,1,Worst,5,Excellent,0,0.000000,0.000000
2005-2010,2,Poor,1,Worst,0,0.000000,0.000000
2005-2010,2,Poor,2,Poor,83,0.016385,83.838384
2005-2010,2,Poor,3,Moderate,16,0.003159,16.161616
2005-2010,2,Poor,4,Good,0,0.000000,0.000000
2005-2010,2,Poor,5,Excellent,0,0.000000,0.000000
2005-2010,3,Moderate,1,Worst,0,0.000000,0.000000
2005-2010,3,Moderate,2,Poor,46,0.009081,0.022951
2005-2010,3,Moderate,3,Moderate,190896,37.685817,95.244177
2005-2010,3,Moderate,4,Good,9485,1.872485,4.732373
2005-2010,3,Moderate,5,Excellent,1,0.000197,0.000499
2005-2010,4,Good,1,Worst,0,0.000000,0.000000
2005-2010,4,Good,2,Poor,1,0.000197,0.000736
2005-2010,4,Good,3,Moderate,17032,3.362380,12.534774
2005-2010,4,Good,4,Good,110692,21.852310,81.464255
2005-2010,4,Good,5,Excellent,8153,1.609528,6.000236
2005-2010,5,Excellent,1,Worst,0,0.000000,0.000000
2005-2010,5,Excellent,2,Poor,0,0.000000,0.000000
2005-2010,5,Excellent,3,Moderate,1,0.000197,0.000588
2005-2010,5,Excellent,4,Good,5598,1.105132,3.290212
2005-2010,5,Excellent,5,Excellent,164542,32.483131,96.709200
2010-2015,1,Worst,1,Worst,0,0.000000,0.000000
2010-2015,1,Worst,2,Poor,0,0.000000,0.000000
2010-2015,1,Worst,3,Moderate,0,0.000000,0.000000
2010-2015,1,Worst,4,Good,0,0.000000,0.000000
2010-2015,1,Worst,5,Excellent,0,0.000000,0.000000
2010-2015,2,Poor,1,Worst,0,0.000000,0.000000
2010-2015,2,Poor,2,Poor,113,0.022304,87.596899
2010-2015,2,Poor,3,Moderate,16,0.003158,12.403101
2010-2015,2,Poor,4,Good,0,0.000000,0.000000
2010-2015,2,Poor,5,Excellent,0,0.000000,0.000000
2010-2015,3,Moderate,1,Worst,0,0.000000,0.000000
2010-2015,3,Moderate,2,Poor,110,0.021712,0.052924
2010-2015,3,Moderate,3,Moderate,189577,37.418926,91.211197
2010-2015,3,Moderate,4,Good,18134,3.579310,8.724813
2010-2015,3,Moderate,5,Excellent,23,0.004540,0.011066
2010-2015,4,Good,1,Worst,0,0.000000,0.000000
2010-2015,4,Good,2,Poor,0,0.000000,0.000000
2010-2015,4,Good,3,Moderate,8621,1.701623,6.844019
2010-2015,4,Good,4,Good,109508,21.614815,86.935950
2010-2015,4,Good,5,Excellent,7835,1.546481,6.220031
2010-2015,5,Excellent,1,Worst,0,0.000000,0.000000
2010-2015,5,Excellent,2,Poor,0,0.000000,0.000000
2010-2015,5,Excellent,3,Moderate,0,0.000000,0.000000
2010-2015,5,Excellent,4,Good,5783,1.141455,3.348640
2010-2015,5,Excellent,5,Excellent,166914,32.945677,96.651360
2015-2020,1,Worst,1,Worst,0,0.000000,0.000000
2015-2020,1,Worst,2,Poor,0,0.000000,0.000000
2015-2020,1,Worst,3,Moderate,0,0.000000,0.000000
2015-2020,1,Worst,4,Good,0,0.000000,0.000000
2015-2020,1,Worst,5,Excellent,0,0.000000,0.000000
2015-2020,2,Poor,1,Worst,0,0.000000,0.000000
2015-2020,2,Poor,2,Poor,55,0.010857,24.663677
2015-2020,2,Poor,3,Moderate,168,0.033162,75.336323
2015-2020,2,Poor,4,Good,0,0.000000,0.000000
2015-2020,2,Poor,5,Excellent,0,0.000000,0.000000
2015-2020,3,Moderate,1,Worst,0,0.000000,0.000000
2015-2020,3,Moderate,2,Poor,24,0.004737,0.012112
2015-2020,3,Moderate,3,Moderate,175085,34.560456,88.362058
2015-2020,3,Moderate,4,Good,23036,4.547132,11.625830
2015-2020,3,Moderate,5,Excellent,0,0.000000,0.000000
2015-2020,4,Good,1,Worst,0,0.000000,0.000000
2015-2020,4,Good,2,Poor,0,0.000000,0.000000
2015-2020,4,Good,3,Moderate,19647,3.878169,14.720713
2015-2020,4,Good,4,Good,107454,21.210608,80.510995
2015-2020,4,Good,5,Excellent,6364,1.256206,4.768291
2015-2020,5,Excellent,1,Worst,0,0.000000,0.000000
2015-2020,5,Excellent,2,Poor,0,0.000000,0.000000
2015-2020,5,Excellent,3,Moderate,9,0.001777,0.005150
2015-2020,5,Excellent,4,Good,9557,1.886480,5.468267
2015-2020,5,Excellent,5,Excellent,165206,32.610416,94.526583
2020-2024,1,Worst,1,Worst,0,0.000000,0.000000
2020-2024,1,Worst,2,Poor,0,0.000000,0.000000
2020-2024,1,Worst,3,Moderate,0,0.000000,0.000000
2020-2024,1,Worst,4,Good,0,0.000000,0.000000
2020-2024,1,Worst,5,Excellent,0,0.000000,0.000000
2020-2024,2,Poor,1,Worst,0,0.000000,0.000000
2020-2024,2,Poor,2,Poor,56,0.011052,70.886076
2020-2024,2,Poor,3,Moderate,23,0.004539,29.113924
2020-2024,2,Poor,4,Good,0,0.000000,0.000000
2020-2024,2,Poor,5,Excellent,0,0.000000,0.000000
2020-2024,3,Moderate,1,Worst,0,0.000000,0.000000
2020-2024,3,Moderate,2,Poor,55,0.010854,0.028211
2020-2024,3,Moderate,3,Moderate,174184,34.375074,89.342539
2020-2024,3,Moderate,4,Good,20688,4.082760,10.611299
2020-2024,3,Moderate,5,Excellent,35,0.006907,0.017952
2020-2024,4,Good,1,Worst,0,0.000000,0.000000
2020-2024,4,Good,2,Poor,0,0.000000,0.000000
2020-2024,4,Good,3,Moderate,22065,4.354510,15.748790
2020-2024,4,Good,4,Good,100013,19.737486,71.383809
2020-2024,4,Good,5,Excellent,18028,3.557811,12.867400
2020-2024,5,Excellent,1,Worst,0,0.000000,0.000000
2020-2024,5,Excellent,2,Poor,0,0.000000,0.000000
2020-2024,5,Excellent,3,Moderate,0,0.000000,0.000000
2020-2024,5,Excellent,4,Good,1981,0.390949,1.154637
2020-2024,5,Excellent,5,Excellent,169588,33.468057,98.845363
2000-2024,1,Worst,1,Worst,0,0.000000,0.000000
2000-2024,1,Worst,2,Poor,0,0.000000,0.000000
2000-2024,1,Worst,3,Moderate,0,0.000000,0.000000
2000-2024,1,Worst,4,Good,0,0.000000,0.000000
2000-2024,1,Worst,5,Excellent,0,0.000000,0.000000
2000-2024,2,Poor,1,Worst,0,0.000000,0.000000
2000-2024,2,Poor,2,Poor,67,0.013228,32.057416
2000-2024,2,Poor,3,Moderate,141,0.027838,67.464115
2000-2024,2,Poor,4,Good,1,0.000197,0.478469
2000-2024,2,Poor,5,Excellent,0,0.000000,0.000000
2000-2024,3,Moderate,1,Worst,0,0.000000,0.000000
2000-2024,3,Moderate,2,Poor,42,0.008292,0.019484
2000-2024,3,Moderate,3,Moderate,190993,37.708540,88.604406
2000-2024,3,Moderate,4,Good,24366,4.810680,11.303739
2000-2024,3,Moderate,5,Excellent,156,0.030800,0.072371
2000-2024,4,Good,1,Worst,0,0.000000,0.000000
2000-2024,4,Good,2,Poor,2,0.000395,0.001666
2000-2024,4,Good,3,Moderate,5156,1.017970,4.294984
2000-2024,4,Good,4,Good,95064,18.768880,79.188984
2000-2024,4,Good,5,Excellent,19825,3.914132,16.514365
2000-2024,5,Excellent,1,Worst,0,0.000000,0.000000
2000-2024,5,Excellent,2,Poor,0,0.000000,0.000000
2000-2024,5,Excellent,3,Moderate,1,0.000197,0.000586
2000-2024,5,Excellent,4,Good,3015,0.595264,1.766412
2000-2024,5,Excellent,5,Excellent,167669,33.103586,98.233002
