year,grade,class,pixels,percent
2000,1,Poor,0,0.0
2000,2,Relatively poor,209,0.04124590254520768
2000,3,Fair,215604,42.54919412610984
2000,4,Good,120214,23.72409056731864
2000,5,Excellent,170690,33.685469404026314
2005,1,Poor,0,0.0
2005,2,Relatively poor,99,0.019532637261169116
2005,3,Fair,200455,39.54964446654197
2005,4,Good,136149,26.862111418898124
2005,5,Excellent,170141,33.568711477298734
2010,1,Poor,0,0.0
2010,2,Relatively poor,130,0.025642087739334372
2010,3,Fair,207972,41.0218174717296
2010,4,Good,126180,24.88860485345547
2010,5,Excellent,172697,34.0639355870756
2015,1,Poor,0,0.0
2015,2,Relatively poor,223,0.04398049080649965
2015,3,Fair,198230,39.095303554136436
2015,4,Good,133818,26.391844478673406
2015,5,Excellent,174772,34.46887147638366
2020,1,Poor,0,0.0
2020,2,Relatively poor,79,0.01558314495480888
2020,3,Fair,194998,38.46433037845344
2020,4,Good,140310,27.676848969737136
2020,5,Excellent,171571,33.843237506854614
2024,1,Poor,0,0.0
2024,2,Relatively poor,111,0.021884512862573147
2024,3,Fair,196394,38.72060377596568
2024,4,Good,123052,24.260658349237392
2024,5,Excellent,187651,36.996853361934356
