period,from_grade,from_class,to_grade,to_class,pixels,percent_of_period_valid
2000-2005,1,Poor,1,Poor,0,0.0
2000-2005,1,Poor,2,Relatively poor,0,0.0
2000-2005,1,Poor,3,Fair,0,0.0
2000-2005,1,Poor,4,Good,0,0.0
2000-2005,1,Poor,5,Excellent,0,0.0
2000-2005,2,Relatively poor,1,Poor,0,0.0
2000-2005,2,Relatively poor,2,Relatively poor,89,0.017577608102289827
2000-2005,2,Relatively poor,3,Fair,120,0.0237001457558964
2000-2005,2,Relatively poor,4,Good,0,0.0
2000-2005,2,Relatively poor,5,Excellent,0,0.0
2000-2005,3,Fair,1,Poor,0,0.0
2000-2005,3,Fair,2,Relatively poor,10,0.0019750121463246997
2000-2005,3,Fair,3,Fair,194718,38.45704151080529
2000-2005,3,Fair,4,Good,20846,4.11711032022847
2000-2005,3,Fair,5,Excellent,0,0.0
2000-2005,4,Good,1,Poor,0,0.0
2000-2005,4,Good,2,Relatively poor,0,0.0
2000-2005,4,Good,3,Fair,5505,1.0872441865517473
2000-2005,4,Good,4,Good,108705,21.46936953662265
2000-2005,4,Good,5,Excellent,5646,1.1150918578149256
2000-2005,5,Excellent,1,Poor,0,0.0
2000-2005,5,Excellent,2,Relatively poor,0,0.0
2000-2005,5,Excellent,3,Fair,1,0.00019750121463247
2000-2005,5,Excellent,4,Good,6191,1.2227300197896218
2000-2005,5,Excellent,5,Excellent,164495,32.48796230096815
2005-2010,1,Poor,1,Poor,0,0.0
2005-2010,1,Poor,2,Relatively poor,0,0.0
2005-2010,1,Poor,3,Fair,0,0.0
2005-2010,1,Poor,4,Good,0,0.0
2005-2010,1,Poor,5,Excellent,0,0.0
2005-2010,2,Relatively poor,1,Poor,0,0.0
2005-2010,2,Relatively poor,2,Relatively poor,83,0.0163854812790941
2005-2010,2,Relatively poor,3,Fair,16,0.0031586469935603084
2005-2010,2,Relatively poor,4,Good,0,0.0
2005-2010,2,Relatively poor,5,Excellent,0,0.0
2005-2010,3,Fair,1,Poor,0,0.0
2005-2010,3,Fair,2,Relatively poor,46,0.009081110106485886
2005-2010,3,Fair,3,Fair,190896,37.68581728016804
2005-2010,3,Fair,4,Good,9485,1.8724854208699704
2005-2010,3,Fair,5,Excellent,1,0.00019741543709751928
2005-2010,4,Good,1,Poor,0,0.0
2005-2010,4,Good,2,Relatively poor,1,0.00019741543709751928
2005-2010,4,Good,3,Fair,17032,3.3623797246449483
2005-2010,4,Good,4,Good,110692,21.852309563198602
2005-2010,4,Good,5,Excellent,8153,1.6095280586560747
2005-2010,5,Excellent,1,Poor,0,0.0
2005-2010,5,Excellent,2,Relatively poor,0,0.0
2005-2010,5,Excellent,3,Fair,1,0.00019741543709751928
2005-2010,5,Excellent,4,Good,5598,1.105131616871913
2005-2010,5,Excellent,5,Excellent,164542,32.48313085090002
2010-2015,1,Poor,1,Poor,0,0.0
2010-2015,1,Poor,2,Relatively poor,0,0.0
2010-2015,1,Poor,3,Fair,0,0.0
2010-2015,1,Poor,4,Good,0,0.0
2010-2015,1,Poor,5,Excellent,0,0.0
2010-2015,2,Relatively poor,1,Poor,0,0.0
2010-2015,2,Relatively poor,2,Relatively poor,113,0.022304069604487657
2010-2015,2,Relatively poor,3,Fair,16,0.0031580983510778983
2010-2015,2,Relatively poor,4,Good,0,0.0
2010-2015,2,Relatively poor,5,Excellent,0,0.0
2010-2015,3,Fair,1,Poor,0,0.0
2010-2015,3,Fair,2,Relatively poor,110,0.021711926163660553
2010-2015,3,Fair,3,Fair,189577,37.41892569389342
2010-2015,3,Fair,4,Good,18134,3.579309718652913
2010-2015,3,Fair,5,Excellent,23,0.004539766379674479
2010-2015,4,Good,1,Poor,0,0.0
2010-2015,4,Good,2,Relatively poor,0,0.0
2010-2015,4,Good,3,Fair,8621,1.7016228677901601
2010-2015,4,Good,4,Good,109508,21.614814639364905
2010-2015,4,Good,5,Excellent,7835,1.5464812862934585
2010-2015,5,Excellent,1,Poor,0,0.0
2010-2015,5,Excellent,2,Relatively poor,0,0.0
2010-2015,5,Excellent,3,Fair,0,0.0
2010-2015,5,Excellent,4,Good,5783,1.141455172767718
2010-2015,5,Excellent,5,Excellent,166914,32.94567676073852
2015-2020,1,Poor,1,Poor,0,0.0
2015-2020,1,Poor,2,Relatively poor,0,0.0
2015-2020,1,Poor,3,Fair,0,0.0
2015-2020,1,Poor,4,Good,0,0.0
2015-2020,1,Poor,5,Excellent,0,0.0
2015-2020,2,Relatively poor,1,Poor,0,0.0
2015-2020,2,Relatively poor,2,Relatively poor,55,0.010856584518510477
2015-2020,2,Relatively poor,3,Fair,168,0.03316193089290473
2015-2020,2,Relatively poor,4,Good,0,0.0
2015-2020,2,Relatively poor,5,Excellent,0,0.0
2015-2020,3,Fair,1,Poor,0,0.0
2015-2020,3,Fair,2,Relatively poor,24,0.00473741869898639
2015-2020,3,Fair,3,Fair,175085,34.560456371334666
2015-2020,3,Fair,4,Good,23036,4.547132381243769
2015-2020,3,Fair,5,Excellent,0,0.0
2015-2020,4,Good,1,Poor,0,0.0
2015-2020,4,Good,2,Relatively poor,0,0.0
2015-2020,4,Good,3,Fair,19647,3.8781693824577332
2015-2020,4,Good,4,Good,107454,21.210607870036814
2015-2020,4,Good,5,Excellent,6364,1.2562055250145576
2015-2020,5,Excellent,1,Poor,0,0.0
2015-2020,5,Excellent,2,Relatively poor,0,0.0
2015-2020,5,Excellent,3,Fair,9,0.0017765320121198962
2015-2020,5,Excellent,4,Good,9557,1.8864796044255385
2015-2020,5,Excellent,5,Excellent,165206,32.6104163993644
2020-2024,1,Poor,1,Poor,0,0.0
2020-2024,1,Poor,2,Relatively poor,0,0.0
2020-2024,1,Poor,3,Fair,0,0.0
2020-2024,1,Poor,4,Good,0,0.0
2020-2024,1,Poor,5,Excellent,0,0.0
2020-2024,2,Relatively poor,1,Poor,0,0.0
2020-2024,2,Relatively poor,2,Relatively poor,56,0.011051555506437532
2020-2024,2,Relatively poor,3,Fair,23,0.004539031725858272
2020-2024,2,Relatively poor,4,Good,0,0.0
2020-2024,2,Relatively poor,5,Excellent,0,0.0
2020-2024,3,Fair,1,Poor,0,0.0
2020-2024,3,Fair,2,Relatively poor,55,0.010854206300965433
2020-2024,3,Fair,3,Fair,174184,34.37507400595205
2020-2024,3,Fair,4,Good,20688,4.08276036280678
2020-2024,3,Fair,5,Excellent,35,0.006907222191523457
2020-2024,4,Good,1,Poor,0,0.0
2020-2024,4,Good,2,Relatively poor,0,0.0
2020-2024,4,Good,3,Fair,22065,4.35451021874186
2020-2024,4,Good,4,Good,100013,19.737486086881013
2020-2024,4,Good,5,Excellent,18028,3.5578114762509965
2020-2024,5,Excellent,1,Poor,0,0.0
2020-2024,5,Excellent,2,Relatively poor,0,0.0
2020-2024,5,Excellent,3,Fair,0,0.0
2020-2024,5,Excellent,4,Good,1981,0.39094877604022765
2020-2024,5,Excellent,5,Excellent,169588,33.46805705760229
2000-2024,1,Poor,1,Poor,0,0.0
2000-2024,1,Poor,2,Relatively poor,0,0.0
2000-2024,1,Poor,3,Fair,0,0.0
2000-2024,1,Poor,4,Good,0,0.0
2000-2024,1,Poor,5,Excellent,0,0.0
2000-2024,2,Relatively poor,1,Poor,0,0.0
2000-2024,2,Relatively poor,2,Relatively poor,67,0.013228087771323876
2000-2024,2,Relatively poor,3,Fair,141,0.027838214563532335
2000-2024,2,Relatively poor,4,Good,1,0.00019743414584065484
2000-2024,2,Relatively poor,5,Excellent,0,0.0
2000-2024,3,Fair,1,Poor,0,0.0
2000-2024,3,Fair,2,Relatively poor,42,0.008292234125307503
2000-2024,3,Fair,3,Fair,190993,37.70853981654419
2000-2024,3,Fair,4,Good,24366,4.810680397553396
2000-2024,3,Fair,5,Excellent,156,0.030799726751142155
2000-2024,4,Good,1,Poor,0,0.0
2000-2024,4,Good,2,Relatively poor,2,0.0003948682916813097
2000-2024,4,Good,3,Fair,5156,1.0179704559544165
2000-2024,4,Good,4,Good,95064,18.768879640196012
2000-2024,4,Good,5,Excellent,19825,3.9141319412909823
2000-2024,5,Excellent,1,Poor,0,0.0
2000-2024,5,Excellent,2,Relatively poor,0,0.0
2000-2024,5,Excellent,3,Fair,1,0.00019743414584065484
2000-2024,5,Excellent,4,Good,3015,0.5952639497095744
2000-2024,5,Excellent,5,Excellent,167669,33.10358579895676
