Year,Cluster,Pixels,Percent
2000,Not significant,136052,26.849913
2000,HH,171800,33.904794
2000,LH,186,0.036707
2000,LL,198610,39.195758
2000,HL,65,0.012828
2005,Not significant,142160,28.048299
2005,HH,169649,33.471904
2005,LH,256,0.050509
2005,LL,194657,38.406006
2005,HL,118,0.023282
2010,Not significant,134720,26.573302
2010,HH,171467,33.821589
2010,LH,221,0.043592
2010,LL,200480,39.544356
2010,HL,87,0.017161
2015,Not significant,137178,27.054670
2015,HH,169601,33.449235
2015,LH,308,0.060745
2015,LL,199836,39.412275
2015,HL,117,0.023075
2020,Not significant,151460,29.876537
2020,HH,167131,32.967750
2020,LH,240,0.047342
2020,LL,188004,37.085095
2020,HL,118,0.023276
2024,Not significant,127818,25.200511
2024,HH,177544,35.004456
2024,LH,180,0.035489
2024,LL,201556,39.738646
2024,HL,106,0.020899
