Variable,GeoDetector_mean_q,RF_SHAP_mean_relative
AET,0.6979043648500001,0.21090133958716673
PRE,0.680643152,0.17686008339569406
SOIL,0.6289078680666667,0.16651403948997048
WRB,0.5821707491833333,0.050341436958696695
SWE,0.43908729605,0.0916414560797536
TEMMAX,0.19516717241666667,0.07353780224346405
TEM,0.14077713186666668,0.0476352899226515
DEM,0.14036657241666667,0.08425973079915765
SLOPE,0.10012313296666667,0.04525232785166905
TEMMIN,0.0990470005,0.03745200062953569
ASPECT,0.007672215600000001,0.015604493037779228
