Variable,Year,Mean_abs_SHAP,Relative_mean_abs_SHAP
AET,2000,0.04931197315454483,0.2179714159983248
AET,2005,0.03791078180074692,0.1707589212693936
AET,2010,0.04152853041887283,0.1819237268538005
AET,2015,0.04339366406202316,0.1942849327731464
AET,2020,0.05386499688029289,0.2455496938606677
AET,2024,0.057590875774621964,0.2549193467676673
PRE,2000,0.0402345284819603,0.17784681050487497
PRE,2005,0.05360247194766998,0.24143791956769203
PRE,2010,0.03407883271574974,0.14928889108146512
PRE,2015,0.0312739834189415,0.14002191097329192
PRE,2020,0.03715658560395241,0.169382507163873
PRE,2024,0.041384220123291016,0.1831824610829674
SOIL,2000,0.04060398042201996,0.17947988169157744
SOIL,2005,0.03159714862704277,0.14232085856473217
SOIL,2010,0.051539406180381775,0.22577829645293146
SOIL,2015,0.04566586762666702,0.2044581902370185
SOIL,2020,0.023352645337581635,0.10645568078697602
SOIL,2024,0.03176211565732956,0.1405913292065873
SWE,2000,0.01817469298839569,0.08033674810780346
SWE,2005,0.021556979045271873,0.09709761478791301
SWE,2010,0.020221835002303123,0.08858564341996927
SWE,2015,0.019313106313347816,0.08646989469168295
SWE,2020,0.025465644896030426,0.11608802878205504
SWE,2024,0.01836054027080536,0.08127080668909788
DEM,2000,0.019662993028759956,0.08691541139129984
DEM,2005,0.019268285483121872,0.08678881013590131
DEM,2010,0.017986556515097618,0.07879357544051227
DEM,2015,0.0191646721214056,0.08580531548119014
DEM,2020,0.019214732572436333,0.0875925364158433
DEM,2024,0.017997248098254204,0.079662735930199
TEMMAX,2000,0.01902708038687706,0.0841045163867937
TEMMAX,2005,0.014453441835939884,0.06510164178377331
TEMMAX,2010,0.017804058268666267,0.07799410671864326
TEMMAX,2015,0.014441082254052162,0.06465655195398567
TEMMAX,2020,0.01713884249329567,0.07812935618853917
TEMMAX,2024,0.016094544902443886,0.07124064042904922
WRB,2000,0.010710658505558968,0.04734382445850314
WRB,2005,0.011426744982600212,0.051468699777930324
WRB,2010,0.009773151949048042,0.04281317464755022
WRB,2015,0.0121020982041955,0.054184300561839094
WRB,2020,0.012460466474294662,0.056802448813351364
WRB,2024,0.011168522760272026,0.04943617349300603
TEM,2000,0.00902662891894579,0.039899986986683844
TEM,2005,0.009604050777852535,0.043258863910062346
TEM,2010,0.013562641106545925,0.05941376184508763
TEM,2015,0.010841816663742065,0.048541686146696364
TEM,2020,0.011033081449568272,0.050295552384455454
TEM,2024,0.01003118697553873,0.04440188826292338
SLOPE,2000,0.008977117016911507,0.03968113183437915
SLOPE,2005,0.009557893499732018,0.043050960863852
SLOPE,2010,0.010141650214791298,0.044427452281913825
SLOPE,2015,0.012682429514825344,0.05678259761992381
SLOPE,2020,0.009041359648108482,0.04121606279140956
SLOPE,2024,0.01047260221093893,0.046355761718535955
TEMMIN,2000,0.0073481067083776,0.032480493512440936
TEMMIN,2005,0.00945872813463211,0.04260429714531555
TEMMIN,2010,0.008378226310014725,0.036702434190875315
TEMMIN,2015,0.010904206894338131,0.04882102374169024
TEMMIN,2020,0.006640166509896517,0.030269951696321015
TEMMIN,2024,0.007643666118383408,0.033833803490571066
ASPECT,2000,0.0031536153983324766,0.013939779122898415
ASPECT,2005,0.0035769506357610226,0.016111412188930113
ASPECT,2010,0.003259515855461359,0.014278937062870402
ASPECT,2015,0.0035677128471434116,0.015973595815057598
ASPECT,2020,0.003996430430561304,0.01821818111194976
ASPECT,2024,0.0034125037491321564,0.015105052924969088
