metric,value
n_years,25
mean_2000,0.6889151930809021
mean_2024,0.7108187675476074
net_change,0.021903574466705322
net_change_percent,3.179429844021797
minimum_year,2008
minimum_mean,0.6613764762878418
maximum_year,2013
maximum_mean,0.7160623669624329
regional_theilsen_slope,0.0006167493083260277
regional_mk_z,1.9851723909378052
regional_mk_p,0.047125294916411896
regional_mk_significant_0.05,True
pixel_slope_mean,0.0005894845235161483
pixel_slope_median,0.000524379953276366
cv_min,0.0018637700704857707
cv_mean,0.03549503535032272
cv_median,0.032908570021390915
cv_max,0.280084490776062
hurst_raw_min,0.15639270842075348
hurst_raw_mean,0.7557350993156433
hurst_raw_median,0.755018949508667
hurst_raw_max,1.317058801651001
hurst_clipped_min,0.15639270842075348
hurst_clipped_mean,0.7513384819030762
hurst_clipped_median,0.755018949508667
hurst_clipped_max,1.0
